Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1953,56.5,55.2,63.2,67.9,71.8,86.4,91.5,90.4,86.0,71.6,61.4,49.3,70.9
1954,52.2,61.1,58.3,71.5,78.2,84.6,91.3,88.4,86.2,74.9,64.6,54.0,72.1
1955,48.7,50.8,61.6,66.6,75.6,83.7,86.7,86.6,82.9,75.6,59.1,55.8,69.5
1956,56.0,50.9,61.6,66.1,76.9,86.8,87.9,85.7,84.5,69.7,57.8,53.2,69.8
1957,54.0,61.4,61.8,66.5,72.9,87.0,91.4,88.0,83.1,70.5,56.4,55.0,70.7
1958,53.0,58.0,57.0,66.7,81.3,89.1,93.5,92.7,86.6,76.6,61.4,56.0,72.7
1959,53.7,53.9,63.5,73.4,76.3,90.3,94.0,88.1,83.3,72.7,60.9,53.6,72.0
1960,48.5,51.4,65.0,70.4,77.7,90.0,92.4,89.7,85.9,70.5,60.5,50.4,71.0
1961,54.2,55.6,59.5,69.1,75.5,88.5,91.6,88.5,80.5,69.6,57.1,52.2,70.2
1962,51.4,55.7,56.0,72.3,73.4,83.1,90.2,91.7,84.3,71.5,61.9,55.0,70.5
1963,48.4,60.1,61.0,65.8,80.0,81.7,92.0,87.1,85.0,76.2,61.9,51.8,70.9
1964,46.7,49.2,56.5,65.1,73.6,82.5,90.5,86.1,81.2,74.9,55.5,51.9,67.8
1965,52.6,52.3,56.1,63.4,71.8,79.0,91.0,89.0,79.1,73.8,62.1,52.8,68.6
1966,48.2,49.7,61.1,69.8,80.1,86.7,93.0,90.9,82.8,70.9,60.5,52.0,70.5
1967,50.6,55.7,62.8,62.4,75.1,81.1,91.6,91.0,84.8,73.4,63.8,48.2,70.0
1968,52.4,59.6,59.9,66.7,76.6,86.2,90.2,86.5,83.6,72.7,59.2,49.5,70.3
1969,54.9,53.0,56.9,68.5,78.3,84.2,93.1,94.4,86.0,69.4,62.1,54.8,71.3
1970,52.1,60.2,59.5,64.7,79.6,88.1,95.0,92.5,82.2,69.0,61.4,52.6,71.4
1971,52.2,56.3,63.2,66.5,73.3,85.2,94.9,89.6,85.6,69.3,59.7,50.2,70.5
1972,51.4,59.1,70.5,71.4,78.2,87.8,94.3,89.9,84.8,71.9,58.1,52.1,72.5
1973,51.1,57.5,56.6,67.2,80.9,88.1,93.5,93.3,84.7,74.4,60.8,55.4,72.0
1974,54.0,56.7,64.5,70.6,80.1,92.2,92.4,91.2,87.2,75.8,61.5,50.6,73.1
1975,52.2,54.0,59.0,62.6,76.7,86.6,94.2,91.9,86.2,72.9,60.9,54.8,71.0
1976,55.4,60.7,61.5,68.7,80.7,87.9,91.6,90.7,83.0,74.0,64.1,55.5,72.8
1977,53.8,61.7,60.8,73.5,75.7,91.4,94.9,94.1,87.5,78.7,65.8,59.9,74.8
1978,56.6,58.6,65.5,69.2,78.5,90.9,94.6,91.4,86.3,78.6,61.5,51.7,73.6
1979,50.0,55.7,60.4,70.1,78.0,89.5,93.8,89.4,90.2,77.2,58.2,55.8,72.4
1980,56.6,60.5,60.7,69.8,76.0,88.9,95.6,92.2,87.3,75.5,64.1,61.3,74.0
1981,59.1,61.3,63.7,76.0,80.5,93.4,95.2,95.8,89.2,73.6,66.1,58.6,76.0
1982,53.9,60.1,62.4,72.5,80.4,88.1,93.6,93.7,86.7,73.5,61.8,54.1,73.4
1983,56.0,58.3,62.2,66.6,80.5,88.6,95.5,92.5,90.9,77.2,62.4,57.2,74.0
1984,57.4,60.1,67.6,70.7,87.0,88.9,91.7,91.2,87.5,71.4,61.9,53.7,74.1
1985,54.3,57.4,62.8,75.1,84.2,92.3,94.9,94.5,82.3,75.1,61.3,55.9,74.2
1986,61.4,61.0,69.3,74.2,82.3,92.8,92.2,94.4,84.1,74.7,65.0,56.4,75.7
1987,54.7,59.7,63.4,77.9,82.5,93.0,93.1,92.2,86.9,80.9,63.1,52.6,75.0
1988,55.0,62.5,66.2,73.0,81.4,93.1,96.1,93.9,87.4,82.4,64.4,55.7,75.9
1989,54.4,61.8,70.1,80.0,83.1,92.1,97.4,93.6,89.8,77.3,66.4,56.9,76.9
1990,55.6,56.6,67.1,76.1,81.1,93.8,93.6,90.8,87.6,78.7,65.9,53.6,75.0
1991,55.9,66.0,60.3,72.1,79.7,87.8,95.0,94.5,88.5,80.2,63.5,57.3,75.1
1992,56.3,62.1,64.7,77.0,83.1,90.1,92.8,92.3,90.5,79.8,61.5,53.8,75.3
1993,58.2,58.2,65.6,73.8,83.7,89.6,92.9,91.5,87.9,76.7,61.4,56.2,74.6
1994,56.8,58.0,64.9,71.8,78.3,92.1,93.9,95.2,86.9,73.1,58.0,55.3,73.7
1995,54.5,63.1,64.3,68.4,76.3,86.2,94.5,94.6,89.2,76.2,66.6,57.0,74.2
1996,55.8,62.3,65.1,74.0,83.0,91.9,95.2,94.1,84.2,74.9,64.5,56.5,75.1
1997,55.7,57.8,69.4,70.9,86.3,87.7,93.8,92.9,90.0,74.7,64.1,52.9,74.7
1998,56.6,54.1,61.9,66.7,76.2,85.3,94.5,94.7,87.8,74.1,62.7,54.4,72.4
1999,56.8,60.3,64.9,65.9,79.8,88.8,91.2,93.0,87.4,79.3,68.0,55.2,74.2
2000,58.0,60.8,63.1,75.2,84.8,91.0,95.0,92.4,90.2,72.5,56.9,57.3,74.8
2001,54.1,56.9,65.6,71.7,86.9,92.0,94.4,94.7,92.2,79.4,68.4,53.8,75.8
2002,55.9,61.3,65.2,76.6,81.7,93.4,96.0,95.1,89.8,75.1,66.9,55.2,76.0
2003,62.0,59.4,64.7,70.2,83.3,91.7,97.6,94.6,90.7,82.7,61.9,56.8,76.3
